drug,bbb_status,mw,logp,hbd,hba,tpsa,a_d,ccs_trend,desolvation,p_gp,dipole,lumo,tpsa_3d,chameleon,synergy,lateral_bilayer,net_scenario,notes,refs
Caffeine,+,194.2,-0.07,0,3,58.4,42.5,Small,Medium,Non,Medium,Medium,Medium,None,Aromatic + tertiary amines,Low barrier,A,HBD=0; planar purine ring permits small A_D; crosses by passive and paracellular diffusion at high concentrations,FISCHER1998;GUNTNER2019;LINNET2008
Ethanol,+,46.1,-0.31,1,1,20.2,20.0,Minimal,Low,Non,Low,High,Small,None,Aromatic absent; tiny molecule,Low barrier,A,MW < 50; crosses rapidly by small-molecule/paracellular diffusion,FISCHER1998;ABRAHAM2004
Nicotine,+,162.2,1.17,1,2,38.0,37.5,Small,Low,Non,Medium,Medium,Small,Low,Aromatic + tertiary amine,Low barrier,A,MW < 200; pyrrolidine/pyridine compact bicyclic structure,FISCHER1998;GUNTNER2019;LINNET2008
Diazepam,+,284.7,2.82,0,2,32.7,51.5,Small-to-medium,Low,Non,Medium,Medium,Small,Low-to-medium,Aromatic fused rings + tertiary amine,Low barrier,A,Seelig 1994 explicitly BBB+; A_D small despite modest logP,FISCHER1998;SEELIG1994PNAS;LINNET2008
Morphine,+ (low),285.3,0.89,2,4,52.9,60.0,Medium,Medium-to-high,Substrate,Medium,Medium,Medium,Low,Aromatic + tertiary amine; OH×2 negative,Moderate barrier,B,P-gp substrate; rigid pentacyclic and two OH groups raise desolvation cost,XIE1999;SEELIG2007;FONG2015
Heroin,+,369.4,1.58,0,5,59.0,58.0,Medium,Low,Weak,Medium,Medium,Medium,Low,Aromatic + tertiary amine; acetylated OH removes HBD,Low-to-moderate barrier,A/B,Acetylation of morphine reduces HBD and desolvation cost; higher lipophilicity,FISCHER1998;LINNET2008;FONG2015
Codeine,+,299.4,1.19,1,4,38.0,55.0,Medium,Medium,Weak,Medium,Medium,Medium,Low,Aromatic + tertiary amine; one OH,Moderate barrier,B,Methylated morphine; lower HBD and slightly smaller A_D than morphine,FISCHER1998;LINNET2008
Propofol,+,178.3,3.79,1,1,20.2,42.5,Small,Low,Non,Low,Medium,Small,None,Aromatic single ring,Low barrier,A,Highly lipophilic; single OH; rapid onset explained by small A_D and low desolvation,FISCHER1998;GUNTNER2019;LINNET2008
Fluoxetine,+,309.3,4.05,1,2,21.3,50.0,Small-to-medium,Low,Weak,Medium,Medium,Small,Low,Aromatic×2 + secondary amine + CF3,Low barrier,B,Flexible chain; low TPSA/3D-PSA; weak P-gp substrate,FISCHER1998;LINNET2008;DOLGHIH2012
Diphenhydramine,+,255.4,3.27,1,2,31.8,55.0,Medium,Low,Non,Medium,Medium,Small,Low,Aromatic×2 + tertiary amine,Low-to-moderate barrier,A,First-generation antihistamine; non-sedating claim not absolute; P-gp non-substrate supports CNS entry,CHEN2003;FISCHER1998
Phenobarbital,+,232.2,1.47,2,3,75.0,47.5,Small,Medium,Non,Medium,Medium,Medium,Low,Aromatic + amide/ureide,Low barrier,A,Planar barbituric acid ring; two HBD but small A_D; crosses well,SEELIG2007;FISCHER1998
Carbamazepine,+,236.3,2.45,1,2,46.3,47.5,Small-to-medium,Low-to-medium,Non/weak,Medium,Medium-to-low,Small,Low-to-medium,Aromatic tricyclic + amide,Low barrier,A/B,Intramolecular H-bond can shield amide in membrane; small A_D,FISCHER1998;ZHANG2012;POONGAVANAM2024
Phenytoin,+,252.3,2.47,2,2,58.2,52.5,Medium,Medium,Substrate (controversial),Medium,Medium,Medium,Low-to-medium,Aromatic×2 + hydantoin,Moderate barrier,B,Antiepileptic; P-gp upregulation in refractory epilepsy may lower brain levels,ZHANG2012;SEELIG2007
Chlorpromazine,+,318.9,5.41,1,2,31.8,55.0,Medium,Low,Non,Medium,Low-to-medium,Small,Low,Aromatic×2 + tertiary amine + Cl,Low-to-moderate barrier,A,Phenothiazine tricyclic; high logP but A_D moderate; non-P-gp substrate,FISCHER1998;LINNET2008
Haloperidol,+,375.9,4.3,1,3,38.0,60.0,Medium-to-large,Low,Non,Medium,Low-to-medium,Small,Low,Aromatic×2 + tertiary amine + F + Cl,Moderate barrier,A,Butyrophenone; A_D near cutoff; P-gp non-substrate,FISCHER1998;LINNET2008;DOLGHIH2012
L-DOPA,+,197.2,-2.74,4,5,103.0,52.0,Small,High,Non,High,Medium,Large,None,Catechol + amino acid,Moderate-to-high barrier,A,Crosses via LAT1 transporter; high polarity but small A_D; not passive diffusion,FONG2015;SEELIG2007
Gabapentin,+,171.2,-1.10,3,3,83.0,50.0,Small,High,Non,High,Medium,Large,None,Amino acid-like; no aromatic ring,Moderate barrier,A,Crosses via LAT1/LAT2 transporters; zwitterionic; BBB+ by carrier and not passive,FONG2015;SEELIG2007
Dopamine,-,153.2,-0.98,3,3,66.5,48.0,Small,High,Non,High,Medium,Large,None,Catechol + primary amine,Moderate barrier,C,Small and polar; lacks LAT1-like carrier; charged at physiological pH; high desolvation,FONG2015;SEELIG2007;ABRAHAM2004
Loratadine,-,382.9,5.20,1,2,39.0,85.0,Large,Low,Substrate,Medium,Medium,Small,Low,Aromatic×3 + tertiary amine,Excluded,C,Second-generation antihistamine; P-gp efflux reduces CNS entry despite high logP,CHEN2003;FISCHER1998;SCHINKEL1996
Cetirizine,-,388.9,1.70,2,3,53.0,80.0,Large,High,Substrate,High,Medium,Large,Low,Aromatic×2 + zwitterion (COO⁻/NH⁺),Excluded,D,Zwitterionic at pH 7.4; P-gp substrate; high desolvation,CHEN2003;FISCHER1998;SCHINKEL1996
Loperamide,-,477.0,4.77,1,3,43.0,90.0,Large,Low,Strong,Medium,Low-to-medium,Small,Low,Aromatic×2 + piperidine + amide,Excluded,D,Classic P-gp substrate; A_D > 80 Å²; 7–10× brain increase in mdr1a(-/-) mice,SCHINKEL1996;FISCHER1998
Doxorubicin,-,543.5,1.27,6,12,204.0,120.0,Very large,High,Strong,High,Low,Very large,None,Aromatic + sugar + OH×many,Excluded,D,Large anthracycline; P-gp substrate; MW and A_D preclude passive diffusion,LOSCHER2005;FISCHER1998;SCHINKEL1994
Vincristine,-,824.9,2.82,3,9,171.0,150.0,Very large,High,Strong,High,Medium,Very large,None,Bis-indole alkaloid; complex,Excluded,D,Very large MW; P-gp substrate; A_D >> 80 Å²,LOSCHER2005;FISCHER1998;SCHINKEL1994
Atenolol,-,266.3,0.16,3,4,84.6,65.0,Medium-to-large,High,Non/weak,High,High,Large,None,Aromatic + amide + OH + NH₂,Moderate-to-high barrier,C,Highly polar (PSA 84 Å²); HBD/HBA numerous; A_D near/above cutoff,SHITYAKOV2013;FISCHER1998;WANAT2023
